run_id,dataset_profile,stage_size_multiplier,scenario,num_stages,num_tiles,makespan_s,total_energy_J,compute_energy_J,transfer_energy_J,host_touch_energy_J,total_bytes_host_link,total_bytes_cxl_direct,total_bytes_host_touch,total_bytes_host_h2d_ingress,total_bytes_host_h2d_stage,total_bytes_host_d2h,total_bytes_moved,lb_compute_stage_max_s,lb_host_h2d_ingress_s,lb_host_h2d_stage_s,lb_host_d2h_s,lb_host_link_s,lb_host_touch_s,lb_cxl_direct_s,dominant_lb_component,pipeline_template,memory_ceiling_enabled,total_cpu_mem_time_component_s,total_cpu_mem_latency_bound_time_component_s,total_cpu_mem_peak_bound_time_component_s,total_pim_mem_time_component_s,total_compute_time_component_s,total_cpu_materialize_bytes,total_cpu_materialize_time_component_s,cpu_materialize_energy_J,cpu_baseline_engine,total_cpu_mem_service_time_component_s,total_cpu_mem_queue_delay_component_s,total_pim_mem_service_time_component_s,total_pim_mem_queue_delay_component_s,total_bytes_pim_retained,total_retain_fallback_bytes,total_retain_handoff_time_component_s,cxl_direct_stream_slots,cxl_active_direct_endpoints,cxl_effective_striping_factor,total_cxl_dma_issue_time_component_s,workload_family,workload_profile,workload_variant,baseline_id
run_011_PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE_base_pim_host_bounce_m4p0,PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE,4.0,pim_host_bounce,3,573,23.440315125955046,2839.522694228659,1568.0981600462878,1271.424534182371,111.35196000000057,346329600000,0,92736000000,153600000000,92736000000,99993600000,346329600000,3.0004263040052725,22.999226276048045,13.893063330538673,21.111339102531797,22.999226276048045,3.711732000000019,0.0,host_link,tpch_3op,True,0.0,0.0,0.0,209.07975467283907,82.85866666666514,0,0.0,0.0,vectorized_pipeline,0.0,0.0,201.8219999999953,7.257754672839116,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE|base|m4p0
run_012_PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE_base_pim_flowcxl_direct_m4p0,PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE,4.0,pim_flowcxl_direct,3,573,23.369906845414253,2065.945192614914,1568.0981600462878,497.8470325686262,0.0,160857600000,92736000000,0,153600000000,0,7257600000,253593600000,3.0004263040052725,22.999226276048045,0.0,1.5363535405063444,22.999226276048045,0.0,0.4459647648461495,host_link,tpch_3op,True,0.0,0.0,0.0,209.07975467283907,82.85866666666516,0,0.0,0.0,vectorized_pipeline,0.0,0.0,201.8219999999953,7.257754672839117,0,0,0.0,4,3,1,0.0002292000000000039,tpch,PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_MODERATE_INTERMEDIATE|base|m4p0
run_013_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_cpu_only_m0p5,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,0.5,cpu_only,3,338,777.4971985100068,374957.53709080536,374957.53709080536,0.0,0.0,0,0,0,0,0,0,0,743.1152624999987,0.0,0.0,0.0,0.0,0.0,0.0,compute_stage_max,tpch_3op,True,24997.16913938712,24971.960468744564,25.208670642322307,0.0,83.68000000000018,0,0.0,0.0,vectorized_pipeline,4043.0159999999355,20954.15313938704,0.0,0.0,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m0p5
run_014_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_host_bounce_m0p5,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,0.5,pim_host_bounce,3,338,23.287714169798495,3963.302679552954,3043.876611819464,919.42606773349,116.68056000000092,223968000000,0,97200000000,19200000000,97200000000,107568000000,223968000000,10.794807692309435,2.877327297005994,14.557049803592733,22.702898286075726,22.702898286075726,3.889352000000031,0.0,host_link,tpch_3op,True,0.0,0.0,0.0,405.8502149092576,39.04000000000013,0,0.0,0.0,vectorized_pipeline,0.0,0.0,132.66900000000055,273.18121490926114,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m0p5
run_015_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_flowcxl_direct_m0p5,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,0.5,pim_flowcxl_direct,3,338,11.585918570726593,3152.80246024616,3043.876611819464,108.9258484266963,0.0,29568000000,97200000000,0,19200000000,0,10368000000,126768000000,10.794807692309435,2.877327297005994,0.0,2.190417572151896,2.877327297005994,0.0,0.47318444022115597,compute_stage_max,tpch_3op,True,0.0,0.0,0.0,405.8502149092567,39.04000000000009,0,0.0,0.0,vectorized_pipeline,0.0,0.0,132.6690000000006,273.1812149092647,0,0,0.0,4,3,1,0.0001352000000000016,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m0p5
run_016_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_cpu_only_m1p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,1.0,cpu_only,3,676,1551.3923827663828,749915.0741816177,749915.0741816177,0.0,0.0,0,0,0,0,0,0,0,1486.2305250000134,0.0,0.0,0.0,0.0,0.0,0.0,compute_stage_max,tpch_3op,True,49994.33827877484,49943.92093749023,50.41734128464463,0.0,167.35999999999805,0,0.0,0.0,vectorized_pipeline,8086.032000000012,41908.306278774544,0.0,0.0,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m1p0
run_017_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_host_bounce_m1p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,1.0,pim_host_bounce,3,676,45.99061245587377,7926.605359105962,6087.753223638989,1838.8521354669726,233.36112000000062,447936000000,0,194400000000,38400000000,194400000000,215136000000,447936000000,21.58961538461911,5.754654594011999,29.114099607185587,45.40579657215101,45.40579657215101,7.778704000000021,0.0,host_link,tpch_3op,True,0.0,0.0,0.0,811.700429818525,78.07999999999906,0,0.0,0.0,vectorized_pipeline,0.0,0.0,265.3380000000044,546.362429818536,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m1p0
run_018_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_flowcxl_direct_m1p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,1.0,pim_flowcxl_direct,3,676,22.708669239311586,6305.650637380304,6087.753223638989,217.89741374131515,0.0,59136000000,194400000000,0,38400000000,0,20736000000,253536000000,21.58961538461911,5.754654594011999,0.0,4.3808351443037505,5.754654594011999,0.0,0.9492261859375094,compute_stage_max,tpch_3op,True,0.0,0.0,0.0,811.7004298185295,78.0799999999996,0,0.0,0.0,vectorized_pipeline,0.0,0.0,265.3380000000043,546.3624298185337,0,0,0.0,4,3,1,0.0002704000000000049,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m1p0
run_019_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_cpu_only_m2p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,2.0,cpu_only,3,1352,3028.8286444423643,1499830.1483632096,1499830.1483632096,0.0,0.0,0,0,0,0,0,0,0,2972.461049999974,0.0,0.0,0.0,0.0,0.0,0.0,compute_stage_max,tpch_3op,True,99988.67655754634,99887.84187497705,100.83468256929038,0.0,334.719999999998,0,0.0,0.0,vectorized_pipeline,16172.064000000388,83816.61255754797,0.0,0.0,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m2p0
run_020_PROFILE_TPCH_SF100_HIGH_INTERMEDIATE_base_pim_host_bounce_m2p0,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,2.0,pim_host_bounce,3,1352,91.39640902802851,15853.210718211987,12175.506447277983,3677.704270934005,466.7222400000027,895872000000,0,388800000000,76800000000,388800000000,430272000000,895872000000,43.17923076923806,11.509309188024009,58.22819921437047,90.81159314430563,90.81159314430563,15.557408000000091,0.0,host_link,tpch_3op,True,0.0,0.0,0.0,1623.4008596371416,156.15999999999522,0,0.0,0.0,vectorized_pipeline,0.0,0.0,530.6760000000268,1092.7248596370237,0,0,0.0,4,0,1,0.0,tpch,PROFILE_TPCH_SF100_HIGH_INTERMEDIATE,base,tpch|PROFILE_TPCH_SF100_HIGH_INTERMEDIATE|base|m2p0
